hash,rel,full,name,size,db_file_path_ref,text_ref,referenced,action,reason
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,1\5dc5792a02ac4e1ab10295bf66798753.jpg,C:\panda-gallery\originals\1\5dc5792a02ac4e1ab10295bf66798753.jpg,5dc5792a02ac4e1ab10295bf66798753.jpg,28865,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
8628525E58E9A22A1CA7282D0145F4FDAC0887B8249565E0B1E34F94D440E2CA,1\ec9cae29198443bba970e0201abdbfe5.jpg,C:\panda-gallery\originals\1\ec9cae29198443bba970e0201abdbfe5.jpg,ec9cae29198443bba970e0201abdbfe5.jpg,19925,True,False,True,keep,referenced_by_db_file_path_or_text
8628525E58E9A22A1CA7282D0145F4FDAC0887B8249565E0B1E34F94D440E2CA,2\d27506a96a574714a583d8f5f922e1d7.jpg,C:\panda-gallery\originals\2\d27506a96a574714a583d8f5f922e1d7.jpg,d27506a96a574714a583d8f5f922e1d7.jpg,19925,True,False,True,keep,referenced_by_db_file_path_or_text
8628525E58E9A22A1CA7282D0145F4FDAC0887B8249565E0B1E34F94D440E2CA,1\3cb4731b284f4f19bdd79a23a9aa2f12.jpg,C:\panda-gallery\originals\1\3cb4731b284f4f19bdd79a23a9aa2f12.jpg,3cb4731b284f4f19bdd79a23a9aa2f12.jpg,19925,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,1\d8a4fd6892e3458ba863829f3bef2de9.jpg,C:\panda-gallery\originals\1\d8a4fd6892e3458ba863829f3bef2de9.jpg,d8a4fd6892e3458ba863829f3bef2de9.jpg,28092,True,False,True,keep,referenced_by_db_file_path_or_text
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,2\98ac3f6707b24e4abf1a8d3a3f7f5ab4.jpg,C:\panda-gallery\originals\2\98ac3f6707b24e4abf1a8d3a3f7f5ab4.jpg,98ac3f6707b24e4abf1a8d3a3f7f5ab4.jpg,28092,True,False,True,keep,referenced_by_db_file_path_or_text
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,1\41704fa5c2334952aa6c09cd0332b593.jpg,C:\panda-gallery\originals\1\41704fa5c2334952aa6c09cd0332b593.jpg,41704fa5c2334952aa6c09cd0332b593.jpg,28092,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,1\eef91597aa654e1aa57ccb3037a80216.jpg,C:\panda-gallery\originals\1\eef91597aa654e1aa57ccb3037a80216.jpg,eef91597aa654e1aa57ccb3037a80216.jpg,28092,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
525F6D2222235F6B9369046B28107CD02BD4DA17BEEE1EC73C6A9763F761814B,1\4b0240cde14446a3a8bd85a741bea81c.jpg,C:\panda-gallery\originals\1\4b0240cde14446a3a8bd85a741bea81c.jpg,4b0240cde14446a3a8bd85a741bea81c.jpg,15737,True,True,True,keep,referenced_by_db_file_path_or_text
525F6D2222235F6B9369046B28107CD02BD4DA17BEEE1EC73C6A9763F761814B,2\12e7ff647a9b4786a19167cf89cfb696.jpg,C:\panda-gallery\originals\2\12e7ff647a9b4786a19167cf89cfb696.jpg,12e7ff647a9b4786a19167cf89cfb696.jpg,15737,False,True,True,keep,referenced_by_db_file_path_or_text
962F8741E946ABF2087FCA8FD0131D1EE625C96AA9D9C77D19E8537C19B6DC52,1\511633294b7e4c28a3fa6841f18076c1.jpg,C:\panda-gallery\originals\1\511633294b7e4c28a3fa6841f18076c1.jpg,511633294b7e4c28a3fa6841f18076c1.jpg,17282,True,False,True,keep,referenced_by_db_file_path_or_text
962F8741E946ABF2087FCA8FD0131D1EE625C96AA9D9C77D19E8537C19B6DC52,2\b52c8e87c5084b85bed5ba82a43a4f5f.jpg,C:\panda-gallery\originals\2\b52c8e87c5084b85bed5ba82a43a4f5f.jpg,b52c8e87c5084b85bed5ba82a43a4f5f.jpg,17282,True,False,True,keep,referenced_by_db_file_path_or_text
962F8741E946ABF2087FCA8FD0131D1EE625C96AA9D9C77D19E8537C19B6DC52,1\b89b911b1c394a9dbaf73475c64a45c8.jpg,C:\panda-gallery\originals\1\b89b911b1c394a9dbaf73475c64a45c8.jpg,b89b911b1c394a9dbaf73475c64a45c8.jpg,17282,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
BB8216EFFC0EB85A59E85CE86FF651CBBD480DE8617529BB3C83C353F5C35148,1\601ece9b5f574d7bac0cf6948573c926.jpg,C:\panda-gallery\originals\1\601ece9b5f574d7bac0cf6948573c926.jpg,601ece9b5f574d7bac0cf6948573c926.jpg,19136,True,False,True,keep,referenced_by_db_file_path_or_text
BB8216EFFC0EB85A59E85CE86FF651CBBD480DE8617529BB3C83C353F5C35148,2\aa8aad6b64184c038d080e9e2325dbdb.jpg,C:\panda-gallery\originals\2\aa8aad6b64184c038d080e9e2325dbdb.jpg,aa8aad6b64184c038d080e9e2325dbdb.jpg,19136,True,False,True,keep,referenced_by_db_file_path_or_text
BB8216EFFC0EB85A59E85CE86FF651CBBD480DE8617529BB3C83C353F5C35148,1\5502027b036f4fcc93c1b13dc54a983b.jpg,C:\panda-gallery\originals\1\5502027b036f4fcc93c1b13dc54a983b.jpg,5502027b036f4fcc93c1b13dc54a983b.jpg,19136,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
81762B962F750D176FC70EDBCBDB8A460B3166ED8ADBFE50FC400E5D4FB38685,1\55f8f9f4a1c04b9bad262bb4a8f53521.png,C:\panda-gallery\originals\1\55f8f9f4a1c04b9bad262bb4a8f53521.png,55f8f9f4a1c04b9bad262bb4a8f53521.png,289572,False,True,True,keep,referenced_by_db_file_path_or_text
